,Unnamed: 0,DATE,day,month,bogo,paneer,guest,test,meal_type,footfall,max_possible_footfall
0,0,2023-07-29,Saturday,July,0,0,0,0,Dinner,48,89
1,1,2023-08-21,Monday,August,0,0,1,0,Breakfast,307,325
2,2,2023-05-16,Tuesday,May,0,0,0,0,Dinner,181,225
3,3,2023-06-08,Thursday,June,0,0,0,0,Dinner,80,120
4,4,2023-08-07,Monday,August,0,0,0,0,Dinner,52,100
5,5,2023-06-28,Wednesday,June,1,0,0,0,Breakfast,58,70
6,6,2023-07-30,Sunday,July,0,0,0,0,Lunch,37,124
7,7,2023-07-07,Friday,July,1,0,0,0,Snacks,54,89
8,8,2023-09-02,Saturday,September ,0,0,0,0,Dinner,196,355
9,9,2023-07-22,Saturday,July,0,0,0,0,Snacks,35,89
10,10,2023-05-04,Thursday,May,0,0,0,0,Dinner,179,225
11,11,2023-10-30,Monday,October,0,0,1,0,Dinner,221,355
12,12,2023-05-08,Monday,May,0,0,0,0,Breakfast,112,225
13,13,2023-09-27,Wednesday,September,1,0,0,0,Dinner,296,355
14,14,2023-06-24,Saturday,June,0,0,0,0,Breakfast,228,300
15,15,2023-09-18,Monday,September,0,0,0,0,Breakfast,253,355
16,16,2023-05-13,Saturday,May,0,0,0,0,Lunch,137,215
17,17,2023-07-12,Wednesday,July,1,0,0,0,Dinner,35,89
18,18,2023-08-19,Saturday,August,0,0,0,0,Breakfast,110,325
19,19,2023-10-04,Wednesday,October,1,0,0,0,Snacks,259,355
20,20,2023-07-26,Wednesday,July,1,0,0,0,Snacks,44,89
21,21,2023-10-11,Wednesday,October,1,0,0,1,Dinner,235,355
22,22,2023-10-16,Monday,October,0,1,0,0,Lunch,346,417
23,23,2023-08-17,Thursday,August,0,0,0,0,Snacks,256,352
24,24,2023-06-21,Wednesday,June,1,0,0,0,Dinner,255,350
25,25,2023-09-28,Thursday,September,0,0,0,0,Snacks,276,355
26,26,2023-06-22,Thursday,June,0,0,0,0,Dinner,260,350
27,27,2023-05-12,Friday,May,1,0,0,0,Breakfast,92,225
28,28,2023-07-15,Saturday,July,0,0,0,0,Dinner,47,89
