date,breakfast,lunch,snacks,dinner,day,month
01-05-2023 00:00,111,195,108,137,Monday,May
02-05-2023 00:00,95,175,115,138,Tuesday,May
03-05-2023 00:00,95,203,129,134,Wednesday,May
04-05-2023 00:00,93,184,131,179,Thursday,May
05-05-2023 00:00,112,121,95,117,Friday,May
06-05-2023 00:00,107,119,99,156,Saturday,May
07-05-2023 00:00,85,126,100,166,Sunday,May
08-05-2023 00:00,112,185,109,142,Monday,May
09-05-2023 00:00,90,172,127,181,Tuesday,May
10-05-2023 00:00,126,193,113,121,Wednesday,May
11-05-2023 00:00,56,166,122,147,Thursday,May
12-05-2023 00:00,92,127,69,85,Friday,May
13-05-2023 00:00,78,137,115,97,Saturday,May
14-05-2023 00:00,83,176,124,131,Sunday,May
15-05-2023 00:00,99,187,116,181,Monday,May
16-05-2023 00:00,127,176,110,181,Tuesday,May
17-05-2023 00:00,112,201,119,145,Wednesday,May
18-05-2023 00:00,110,170,105,135,Thursday,May
19-05-2023 00:00,121,182,117,141,Friday,May
20-05-2023 00:00,122,178,89,113,Saturday,May
21-05-2023 00:00,107,123,134,151,Sunday,May
22-05-2023 00:00,119,194,107,102,Monday,May
23-05-2023 00:00,95,198,107,129,Tuesday,May
24-05-2023 00:00,82,156,96,106,Wednesday,May
25-05-2023 00:00,84,100,66,64,Thursday,May
26-05-2023 00:00,87,89,47,83,Friday,May
27-05-2023 00:00,56,72,46,65,Saturday,May
28-05-2023 00:00,65,38,47,47,Sunday,May
29-05-2023 00:00,51,81,36,73,Monday,May
30-05-2023 00:00,63,83,46,74,Tuesday,May
31-05-2023 00:00,60,94,65,36,Wednesday,May
01-06-2023 00:00,69,88,65,71,Thursday,June
02-06-2023 00:00,81,80,82,37,Friday,June
03-06-2023 00:00,47,55,61,72,Saturday,June
04-06-2023 00:00,62,79,19,31,Sunday,June
05-06-2023 00:00,75,115,50,85,Monday,June
06-06-2023 00:00,72,102,53,87,Tuesday,June
07-06-2023 00:00,84,121,74,98,Wednesday,June
08-06-2023 00:00,76,79,54,80,Thursday,June
09-06-2023 00:00,73,104,62,59,Friday,June
10-06-2023 00:00,42,73,39,87,Saturday,June
11-06-2023 00:00,39,121,60,217,Sunday,June
12-06-2023 00:00,247,330,486,283,Monday,June
13-06-2023 00:00,272,301,488,214,Tuesday,June
14-06-2023 00:00,253,338,427,229,Wednesday,June
15-06-2023 00:00,260,312,461,278,Thursday,June
16-06-2023 00:00,251,334,470,311,Friday,June
17-06-2023 00:00,270,309,464,250,Saturday,June
18-06-2023 00:00,263,255,456,247,Sunday,June
19-06-2023 00:00,249,294,461,272,Monday,June
20-06-2023 00:00,256,327,493,306,Tuesday,June
21-06-2023 00:00,227,325,476,255,Wednesday,June
22-06-2023 00:00,241,296,474,260,Thursday,June
23-06-2023 00:00,239,302,459,266,Friday,June
24-06-2023 00:00,228,281,469,225,Saturday,June
25-06-2023 00:00,201,69,39,37,Sunday,June
26-06-2023 00:00,47,105,60,80,Monday,June
27-06-2023 00:00,37,78,57,74,Tuesday,June
28-06-2023 00:00,58,92,59,71,Wednesday,June
29-06-2023 00:00,49,62,51,55,Thursday,June
30-06-2023 00:00,41,83,60,51,Friday,June
01-07-2023 00:00,41,66,31,55,Saturday,July
02-07-2023 00:00,43,60,45,50,Sunday,July
03-07-2023 00:00,59,91,31,44,Monday,July
04-07-2023 00:00,63,21,69,67,Tuesday,July
05-07-2023 00:00,81,100,60,73,Wednesday,July
06-07-2023 00:00,50,78,69,64,Thursday,July
07-07-2023 00:00,40,87,54,77,Friday,July
08-07-2023 00:00,50,78,69,64,Saturday,July
09-07-2023 00:00,49,65,43,66,Sunday,July
10-07-2023 00:00,46,46,35,55,Monday,July
11-07-2023 00:00,63,40,55,66,Tuesday,July
12-07-2023 00:00,68,73,47,35,Wednesday,July
13-07-2023 00:00,49,69,55,78,Thursday,July
14-07-2023 00:00,42,73,41,36,Friday,July
15-07-2023 00:00,57,41,52,47,Saturday,July
16-07-2023 00:00,47,32,47,50,Sunday,July
17-07-2023 00:00,55,69,35,54,Monday,July
18-07-2023 00:00,53,62,44,46,Tuesday,July
19-07-2023 00:00,50,85,56,76,Wednesday,July
20-07-2023 00:00,48,76,51,57,Thursday,July
21-07-2023 00:00,62,76,50,40,Friday,July
22-07-2023 00:00,44,59,35,50,Saturday,July
23-07-2023 00:00,60,59,44,36,Sunday,July
24-07-2023 00:00,46,79,47,52,Monday,July
25-07-2023 00:00,43,66,38,41,Tuesday,July
26-07-2023 00:00,60,59,44,36,Wednesday,July
27-07-2023 00:00,37,51,33,54,Thursday,July
28-07-2023 00:00,48,68,44,59,Friday,July
29-07-2023 00:00,45,39,34,48,Saturday,July
30-07-2023 00:00,49,37,40,43,Sunday,July
31-07-2023 00:00,44,51,37,36,Monday,July
2023-08-01 00:00:00,36,39,34,49,Tuesday,August
2023-08-02 00:00:00,43,42,38,41,Wednesday,August
2023-08-03 00:00:00,34,43,32,34,Thursday,August
2023-08-04 00:00:00,34,51,39,45,Friday,August
2023-08-05 00:00:00,54,81,23,39,Saturday,August
2023-08-06 00:00:00,50,30,24,43,Sunday,August
2023-08-07 00:00:00,41,51,28,52,Monday,August
2023-08-08 00:00:00,53,35,11,45,Tuesday,August
2023-08-09 00:00:00,64,97,87,141,Wednesday,August
2023-08-10 00:00:00,136,270,222,257,Thursday,August
2023-08-11 00:00:00,256,354,112,309,Friday,August
2023-08-12 00:00:00,265,380,252,256,Saturday,August
2023-08-13 00:00:00,239,372,112,260,Sunday,August
2023-08-14 00:00:00,347,445,250,348,Monday,August
2023-08-15 00:00:00,179,395,88,302,Tuesday,August
2023-08-16 00:00:00,312,439,114,331,Wednesday,August
2023-08-17 00:00:00,295,409,254,369,Thursday,August
2023-08-18 00:00:00,320,445,242,251,Friday,August
2023-08-19 00:00:00,185,316,159,258,Saturday,August
2023-08-20 00:00:00,195,245,167,205,Sunday,August
2023-08-21 00:00:00,302,466,229,363,Monday,August
2023-08-22 00:00:00,274,405,282,373,Tuesday,August
2023-08-23 00:00:00,297,441,147,312,Wednesday,August
2023-08-24 00:00:00,290,367,280,300,Thursday,August
2023-08-25 00:00:00,280,430,266,280,Friday,August
2023-08-26 00:00:00,176,343,172,140,Saturday,August
2023-08-27 00:00:00,155,371,175,310,Sunday,August
2023-08-28 00:00:00,271,450,265,341,Monday,August
2023-08-29 00:00:00,237,402,312,356,Tuesday,August
2023-08-30 00:00:00,224,377,278,374,Wednesday,August
2023-08-31 00:00:00,198,327,251,272,Thursday,August
