DATE,B.FAST,LUNCH,Snacks, DINNER
01-05-2023 00:00,111,195,108,137
02-05-2023 00:00,95,175,115,138
03-05-2023 00:00,95,203,129,134
04-05-2023 00:00,93,184,131,179
05-05-2023 00:00,112,121,95,117
06-05-2023 00:00,107,119,99,156
07-05-2023 00:00,85,126,100,166
08-05-2023 00:00,112,185,109,142
09-05-2023 00:00,90,172,127,181
10-05-2023 00:00,126,193,113,121
11-05-2023 00:00,56,166,122,147
12-05-2023 00:00,92,127,69,85
13-05-2023 00:00,78,137,115,97
14-05-2023 00:00,83,176,124,131
15-05-2023 00:00,99,187,116,181
16-05-2023 00:00,127,176,110,181
17-05-2023 00:00,112,201,119,145
18-05-2023 00:00,110,170,105,135
19-05-2023 00:00,121,182,117,141
20-05-2023 00:00,122,178,89,113
21-05-2023 00:00,107,123,134,151
22-05-2023 00:00,119,194,107,102
23-05-2023 00:00,95,198,107,129
24-05-2023 00:00,82,156,96,106
25-05-2023 00:00,84,100,66,64
26-05-2023 00:00,87,89,47,83
27-05-2023 00:00,56,72,46,65
28-05-2023 00:00,65,38,47,47
29-05-2023 00:00,51,81,36,73
30-05-2023 00:00,63,83,46,74
31-05-2023 00:00,60,94,65,36
01-06-2023 00:00,69,88,65,71
02-06-2023 00:00,81,80,82,37
03-06-2023 00:00,47,55,61,72
04-06-2023 00:00,62,79,19,31
05-06-2023 00:00,75,115,50,85
06-06-2023 00:00,72,102,53,87
07-06-2023 00:00,84,121,74,98
08-06-2023 00:00,76,79,54,80
09-06-2023 00:00,73,104,62,59
10-06-2023 00:00,42,73,39,87
11-06-2023 00:00,39,121,60,217
12-06-2023 00:00,247,330,486,283
13-06-2023 00:00,272,301,488,214
14-06-2023 00:00,253,338,427,229
15-06-2023 00:00,260,312,461,278
16-06-2023 00:00,251,334,470,311
17-06-2023 00:00,270,309,464,250
18-06-2023 00:00,263,255,456,247
19-06-2023 00:00,249,294,461,272
20-06-2023 00:00,256,327,493,306
21-06-2023 00:00,227,325,476,255
22-06-2023 00:00,241,296,474,260
23-06-2023 00:00,239,302,459,266
24-06-2023 00:00,228,281,469,225
25-06-2023 00:00,201,69,39,37
26-06-2023 00:00,47,105,60,80
27-06-2023 00:00,37,78,57,74
28-06-2023 00:00,58,92,59,71
29-06-2023 00:00,49,62,51,55
30-06-2023 00:00,41,83,60,51
01-07-2023 00:00,41,66,31,55
02-07-2023 00:00,43,60,45,50
03-07-2023 00:00,59,91,31,44
04-07-2023 00:00,63,21,69,67
05-07-2023 00:00,81,100,60,73
06-07-2023 00:00,50,78,69,64
07-07-2023 00:00,40,87,54,77
08-07-2023 00:00,50,78,69,64
09-07-2023 00:00,49,65,43,66
10-07-2023 00:00,46,46,35,55
11-07-2023 00:00,63,40,55,66
12-07-2023 00:00,68,73,47,35
13-07-2023 00:00,49,69,55,78
14-07-2023 00:00,42,73,41,36
15-07-2023 00:00,57,41,52,47
16-07-2023 00:00,47,32,47,50
17-07-2023 00:00,55,69,35,54
18-07-2023 00:00,53,62,44,46
19-07-2023 00:00,50,85,56,76
20-07-2023 00:00,48,76,51,57
21-07-2023 00:00,62,76,50,40
22-07-2023 00:00,44,59,35,50
23-07-2023 00:00,60,59,44,36
24-07-2023 00:00,46,79,47,52
25-07-2023 00:00,43,66,38,41
26-07-2023 00:00,60,59,44,36
27-07-2023 00:00,37,51,33,54
28-07-2023 00:00,48,68,44,59
29-07-2023 00:00,45,39,34,48
30-07-2023 00:00,49,37,40,43
31-07-2023 00:00,44,51,37,36
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
 ,,,,
